cod_articulo,numero_proveedor,numero_deposito,cantidad,p_pesos,p_dolar
HD715-01068,FRD,1A,2,0,774.02
HD715-02007,FRD,1A,2,0,668.3
HD712-02103,FRD,1A,3,0,430.64
HD712-02346,FRD,1A,1,0,6.28
HD712-01040,FRD,1A,2,0,189.7
02501-200060,FRD,1A,3,0,0
102032-20085,FRD,1A,8,0,1713.84
NA00001,FRD,1A,2,0,98.36
025105-01033,FRD,1A,4,0,314.66
040123-070020,FRD,1A,1,0,4733.44
925104-05023,FRD,1A,3,0,22.44
040123-010240,FRD,1A,2,0,33.58
970404-00001,FRD,1A,1,0,36.05
040400-03014,FRD,1A,5,0,239.7
2897331,CUM,1A,1,0,72.84
4921322 - 2897333,CUM,1A,2,0,23
3975076,CUM,1A,1,0,10.4
4921497,CUM,1A,3,0,28.18
2872277,CUM,1A,1,0,29.8
4954905,CUM,1A,3,0,25
3971371,CUM,1A,1,0,85
3071049,CUM,1A,0,0,24.95
3926704,CUM,1A,6,0,49.95
4939588,CUM,1A,2,0,3.08
4076930,CUM,1A,2,0,48.35
3286499,CUM,1A,4,0,28.69
5264569,CUM,1A,2,0,26.41
3945191,CUM,1A,2,0,3.26
3931973,CUM,1A,2,0,5.34
3286499,CUM,1A,4,0,117.58
3931824,CUM,1A,2,0,131.34
3969988,CUM,1A,1,0,3.89
3970001,CUM,1A,3,0,240.78
5257595,CUM,1A,0,0,72.47
3947269,CUM,1A,3,0,82.56
5297641,CUM,1A,1,0,0
3957290,CUM,1A,3,0,0
3030770,CUM,1A,1,0,185.36
NA00005,CUM,1A,0,0,206.49
NA00006,CUM,1A,6,0,14.8
5263262,CUM,1A,2,0,55.32
5362274,CUM,1A,1,0,93.6
NA00007,CUM,1A,0,0,93.21
4921601,CUM,1A,2,0,93.4
3943771,CUM,1A,1,0,92.99
3943775,CUM,1A,1,0,85.65
3943773,CUM,1A,1,0,94
3943769,CUM,1A,1,0,25.91
3943765,CUM,1A,1,0,16.34
3943767,CUM,1A,1,0,16.05
3282942,CUM,1A,1,0,27.49
3919294,CUM,1A,1,0,13.79
3917716,CUM,1A,1,0,7.51
3942372,CUM,1A,1,0,17.95
3917717,CUM,1A,3,0,12.48
3917747,CUM,1A,6,0,10.51
3942758,CUM,1A,1,0,5.12
3904711,CUM,1A,4,0,3.52
3904519,CUM,1A,3,0,5.53
3919359,CUM,1A,2,0,32.02
3920854,CUM,1A,8,0,750
3917746,CUM,1A,8,0,28.88
3946440,CUM,1A,1,0,2074
20122,CUM,1A,1,0,933
5292708,CUM,1A,1,0,0
