"cod_articulo","numero_proveedor","numero_deposito","cantidad","p_pesos","p_dolar"
"084603-04016","FRD","1A","0","0.00","823.29"
"040300-08011","FRD","1A","2","0.00","453.11"
"040300-08012","FRD","1A","1","0.00","315.42"
"940300-07001","FRD","1A","0","0.00","1,921.97"
"040300-07021","FRD","1A","1","0.00","92.82"
"040300-07020","FRD","1A","1","0.00","92.82"
"940304-13001","FRD","1A","1","0.00","21.28"
"023106-03005","FRD","1A","1","0.00","1,570.00"
"023106-03028","FRD","1A","1","0.00","1,570.00"
"040504-04015","FRD","1A","3","0.00","250.00"
"081300-05032","FRD","1A","1","0.00","250.00"
"081300-05032","FRD","1A","1","0.00","250.00"
"080203-03021","FRD","1A","11","0.00","105.20"
"080203-03021","FRD","1A","11","0.00","0.00"
"080203-03021","FRD","1A","11","0.00","0.00"
"022003-04010","FRD","1A","3","0.00","92.82"
"040504-070036","FRD","1A","1","0.00","0.00"
"040504-070700","FRD","1A","1","0.00","25.00"
"024206-05015","FRD","1A","1","0.00","0.00"
"040123-070030","FRD","1A","3","0.00","0.00"
"080204-03033","FRD","1A","2","0.00","0.00"
"084801-10000","FRD","1A","2","0.00","958.79"
"084801-06000","FRD","1A","1","0.00","680.00"
"084801-04000","FRD","1A","3","0.00","1,390.54"
"HD 712-02104","FRD","1A","1","0.00","972.86"
"HD 612-07006","FRD","1A","23","0.00","206.29"
"HD712-99116","FRD","1A","2","0.00","33.07"
"HD712-02204","FRD","1A","2","0.00","563.96"
"HD712-02347","FRD","1A","1","0.00","688.37"
"280100-06211","FRD","1A","8","0.00","870.24"
"HD712-02004","FRD","1A","0","0.00","157.69"
"HD712-02025","FRD","1A","1","0.00","2,441.12"
"HD712-01528","FRD","1A","1","0.00","1,522.31"
"HD715-99157","FRD","1A","4","0.00","1,675.49"
"HD712-01101","FRD","1A","1","0.00","2,737.47"
"HD712-01012","FRD","1A","1","0.00","381.98"
"HD712-01049","FRD","1A","1","0.00","453.22"
"HD712-02009","FRD","1A","1","0.00","1,001.67"
"HD712-02023","FRD","1A","1","0.00","626.14"
"HD712-02104","FRD","1A","2","0.00","1,291.21"
"HD712-02343","FRD","1A","1","0.00","96.36"
"HD712-02350","FRD","1A","1","0.00","63.66"
"HD712-02203","FRD","1A","1","0.00","88.28"
"HD715-06013","FRD","1A","4","0.00","182.12"
"HD715-03605","FRD","1A","4","0.00","1,642.12"
"HD612-03612","FRD","1A","8","0.00","119.88"
"HD612-03601","FRD","1A","4","0.00","51.80"
"HD712-01527","FRD","1A","1","0.00","136.21"
"HD712-03601","FRD","1A","8","0.00","0.00"
"HD712-03602","FRD","1A","8","0.00","4,695.07"
"HD715-03606","FRD","1A","4","0.00","1,194.00"
"HD712-01068","FRD","1A","2","0.00","1,058.27"
"HD712-02003","FRD","1A","1","0.00","313.49"
"HD715-01068","FRD","1A","2","0.00","774.02"
"HD715-02007","FRD","1A","2","0.00","668.30"
"HD712-02103","FRD","1A","3","0.00","430.64"
"HD712-02346","FRD","1A","1","0.00","6.28"
"HD712-01040","FRD","1A","2","0.00","189.70"
"02501-200060","FRD","1A","3","0.00","0.00"
"102032-20085","FRD","1A","8","0.00","1,713.84"
"NA00001","FRD","1A","2","0.00","98.36"
"025105-01033","FRD","1A","4","0.00","314.66"
"040123-070020","FRD","1A","1","0.00","4,733.44"
"925104-05023","FRD","1A","3","0.00","22.44"
"040123-010240","FRD","1A","2","0.00","33.58"
"970404-00001","FRD","1A","1","0.00","36.05"
"040400-03014","FRD","1A","5","0.00","239.70"
"2897331","CUM","1A","1","0.00","72.84"
"4921322 - 2897333","CUM","1A","2","0.00","23.00"
"3975076","CUM","1A","1","0.00","10.40"
"4921497","CUM","1A","3","0.00","28.18"
"2872277","CUM","1A","1","0.00","29.80"
"4954905","CUM","1A","3","0.00","25.00"
"3971371","CUM","1A","1","0.00","85.00"
"3071049","CUM","1A","0","0.00","24.95"
"3926704","CUM","1A","6","0.00","49.95"
"4939588","CUM","1A","2","0.00","3.08"
"4076930","CUM","1A","2","0.00","48.35"
"3286499","CUM","1A","4","0.00","28.69"
"5264569","CUM","1A","2","0.00","26.41"
"3945191","CUM","1A","2","0.00","3.26"
"3931973","CUM","1A","2","0.00","5.34"
"3286499","CUM","1A","4","0.00","117.58"
"3931824","CUM","1A","2","0.00","131.34"
"3969988","CUM","1A","1","0.00","3.89"
"3970001","CUM","1A","3","0.00","240.78"
"5257595","CUM","1A","0","0.00","72.47"
"3947269","CUM","1A","3","0.00","82.56"
"5297641","CUM","1A","1","0.00","0.00"
"3957290","CUM","1A","3","0.00","0.00"
"3030770","CUM","1A","1","0.00","185.36"
"NA00005","CUM","1A","0","0.00","206.49"
"NA00006","CUM","1A","6","0.00","14.80"
"5263262","CUM","1A","2","0.00","55.32"
"5362274","CUM","1A","1","0.00","93.60"
"NA00007","CUM","1A","0","0.00","93.21"
"4921601","CUM","1A","2","0.00","93.40"
"3943771","CUM","1A","1","0.00","92.99"
"3943775","CUM","1A","1","0.00","85.65"
"3943773","CUM","1A","1","0.00","94.00"
"3943769","CUM","1A","1","0.00","25.91"
"3943765","CUM","1A","1","0.00","16.34"
"3943767","CUM","1A","1","0.00","16.05"
"3282942","CUM","1A","1","0.00","27.49"
"3919294","CUM","1A","1","0.00","13.79"
"3917716","CUM","1A","1","0.00","7.51"
"3942372","CUM","1A","1","0.00","17.95"
"3917717","CUM","1A","3","0.00","12.48"
"3917747","CUM","1A","6","0.00","10.51"
"3942758","CUM","1A","1","0.00","5.12"
"3904711","CUM","1A","4","0.00","3.52"
"3904519","CUM","1A","3","0.00","5.53"
"3919359","CUM","1A","2","0.00","32.02"
"3920854","CUM","1A","8","0.00","750.00"
"3917746","CUM","1A","8","0.00","28.88"
"3946440","CUM","1A","1","0.00","2,074.00"
"20122","CUM","1A","1","0.00","933.00"
"5292708","CUM","1A","1","0.00","0.00"
"3214-2536-00","ATLAS","1A","2","0.00","115.00"
"3222-3107-08","ATLAS","1A","2","0.00","15.00"
"3222-1938-00","ATLAS","1A","2","0.00","149.00"
"3222-1488-00","ATLAS","1A","1","0.00","1,510.00"
"0666-6718-00","ATLAS","1A","2","0.00","89.00"
"3115-2196-81","ATLAS","1A","2","0.00","108.00"
"3222-3049-36","ATLAS","1A","1","0.00","217.00"
"3177-3092-56","ATLAS","1A","1","0.00","150.00"
"3217-5316-00","ATLAS","1A","1","0.00","46.00"
"3177-3092-88","ATLAS","1A","2","0.00","26.00"
"3177-3092-55","ATLAS","1A","2","0.00","64.00"
"3222-3264-95","ATLAS","1A","1","0.00","265.00"
"3115-1648-02","ATLAS","1A","1","0.00","188.00"
"3222-3327-81","ATLAS","1A","1","0.00","222.00"
"3222-3179-30","ATLAS","1A","1","0.00","0.00"
"NA00008","ATLAS","1A","2","0.00","36,118.00"
"NA00009","ATLAS","1A","1","0.00","1.00"
"3115-9159-94","ATLAS","1A","1","0.00","3.00"
"3115-9159-92","ATLAS","1A","0","0.00","0.00"
"0147-1403-03","ATLAS","1A","4","0.00","54.00"
"3315-0195-08","ATLAS","1A","10","0.00","3.00"
"3222-3145-47","ATLAS","1A","0","0.00","5.00"
"3216-0295-46","ATLAS","1A","1","0.00","19.00"
"3162-1565-00","ATLAS","1A","2","0.00","83.00"
"3214-0806-04","ATLAS","1A","1","0.00","8.00"
"0347-6200-17","ATLAS","1A","1","0.00","5.00"
"3222-3249-14","ATLAS","1A","0","0.00","1,506.00"
"0347-6100-42","ATLAS","1A","1","0.00","7.00"
"0211-11963-33","ATLAS","1A","8","0.00","140.00"
"3222-1755-06","ATLAS","1A","1","0.00","562.97"
"3222-3052-80","ATLAS","1A","2","0.00","1,271.73"
"NA00010","ATLAS","1A","3","0.00","469.65"
"9106-1775-18","ATLAS","1A","1","0.00","44.01"
"3222-3064-45","ATLAS","1A","1","0.00","1,186.56"
"3215-7549-00","ATLAS","1A","1","0.00","203.98"
"3222-3115-90","ATLAS","1A","5","0.00","613.11"
"3222-3124-99","ATLAS","1A","0","0.00","88.04"
"3214-6235-01","ATLAS","1A","2","0.00","177.93"
"3222-1824-91","ATLAS","1A","2","0.00","2,478.29"
"3222-3191-63","ATLAS","1A","1","0.00","2,164.71"
"9120-0993-06","ATLAS","1A","1","0.00","171.24"
"9106-2066-98","ATLAS","1A","0","0.00","645.53"
"9106-2324-33","ATLAS","1A","0","0.00","318.23"
"3222-3255-40","ATLAS","1A","0","0.00","869.21"
"3128-2407-02","ATLAS","1A","46","0.00","628.65"
"3217-9581-62","ATLAS","1A","2","0.00","67.06"
"3217-9581-64","ATLAS","1A","2","0.00","49.01"
"3222-3231-03","ATLAS","1A","1","0.00","1,100.00"
"3115-1880-90","ATLAS","1A","1","0.00","80.97"
"3176-0012-99","ATLAS","1A","2","0.00","231.61"
"3222-1756-04","ATLAS","1A","0","0.00","86.77"
"0823-0090-06","ATLAS","1A","2","0.00","269.81"
"3115-0286-00","ATLAS","1A","5","0.00","443.05"
"3115-0267-00","ATLAS","1A","5","0.00","12.37"
"3177-3092-88","ATLAS","1A","2","0.00","6.58"
"3217-8762-03","ATLAS","1A","1","0.00","73.12"
"0500-4500-61","ATLAS","1A","2","0.00","74.90"
"3115-0212-00","ATLAS","1A","3","0.00","75.40"
"3115-0297-01","ATLAS","1A","2","0.00","368.74"
