"codigo,""descripcion"",""unidad_medida"",""tipo"""
"040212-01014,""O-RING"",""UNIDAD"",""REPUESTOS"""
"040403-010140,""DIAFRAGMA (A)"",""UNIDAD"",""REPUESTOS"""
"040404-010240,""DIAFRAGMA (B)"",""UNIDAD"",""REPUESTOS"""
"040504-08018,""SHEET KEY"",""UNIDAD"",""REPUESTOS"""
"040403-010150,""DIAFRAGMA (B)"",""UNIDAD"",""REPUESTOS"""
"940404-010190,""VALVE SOLENOID"",""UNIDAD"",""REPUESTOS"""
"040304-01013,""NIPPLE"",""UNIDAD"",""REPUESTOS"""
"080102-05005,""PIN PLATE"",""UNIDAD"",""REPUESTOS"""
"940400-030030,""FILTER AIR"",""UNIDAD"",""REPUESTOS"""
"940504-080050,""CONTROL BOX"",""UNIDAD"",""REPUESTOS"""
"988500-150010,""VALVE DIAPHRAGM"",""UNIDAD"",""REPUESTOS"""
"040203-02020,""VALVULA DE SEGURIDAD UC"",""UNIDAD"",""REPUESTOS"""
"940504-04018,""CONTROL GRIP (JOYSTICK)"",""UNIDAD"",""REPUESTOS"""
"040212-02032,""VALVULA AUTO RELIEF"",""UNIDAD"",""REPUESTOS"""
"264010-00065,""SEGURO MANCHON BOMBA HIDRAULICA"",""UNIDAD"",""REPUESTOS"""
"040113-030600,""ARO SEPARADOR MANCHOBOMBA HIDRAULICA"",""UNIDAD"",""REPUESTOS"""
"040113-030590,""RODAMIENTO MANCHON BOMBA HIDRAULICA"",""UNIDAD"",""REPUESTOS"""
"040113-030580,""COLLAR"",""UNIDAD"",""REPUESTOS"""
"280030-06013,""RODAMIENTO MANCHON BOMBA HIDRAULICA"",""UNIDAD"",""REPUESTOS"""
"160021-00130,""O´RING MANCHON BOMBA HIDRAULICA"",""UNIDAD"",""REPUESTOS"""
"024203-02061,""SELLO DE ACEITE MANCHON DE BOMBA HIDRAULICA"",""UNIDAD"",""REPUESTOS"""
"040113-03036,""ARO MANCHON BOMBA HIDRAULICA"",""UNIDAD"",""REPUESTOS"""
"040113-03031,""SHAFT (MANCHON BOMBA HIDRAULICA)"",""UNIDAD"",""REPUESTOS"""
"160021-00035,""O´RING SHAFT"",""UNIDAD"",""REPUESTOS"""
"040113-03037,""PLUG"",""UNIDAD"",""REPUESTOS"""
"264020-00040,""SNAP RING (MANCHON BOMBA HIDRAULICA)"",""UNIDAD"",""REPUESTOS"""
"040123-060010,""CONJUNTO BOMBA HIDRAULICAS"",""UNIDAD"",""REPUESTOS"""
"040300-02011,""VALVULA SOLENOIDE"",""UNIDAD"",""REPUESTOS"""
"040300-02014,""VALVULA REDUCING"",""UNIDAD"",""REPUESTOS"""
"040300-02020,""VALVULA REDUCING"",""UNIDAD"",""REPUESTOS"""
