CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN,DESCRIPCIÓN ADICIONAL
10251294,unidad,BIT-DRILL-5 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 5 MM
10251295,unidad,BIT-DRILL-5.25 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 5.25 MM
10252449,unidad,BIT-DRILL-5.75 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 5.75 MM
10251296,unidad,BIT-DRILL-6 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 6 MM
10251297,unidad,BIT-DRILL-6.25 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 6.25 MM
10252450,unidad,BIT-DRILL-6.5 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 6.5 MM
10251666,unidad,BIT-DRILL-7 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 7 MM
10251298,unidad,BIT-DRILL-8 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 8 MM
10251299,unidad,BIT-DRILL-8.25 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 8.25 MM
10252451,unidad,BIT-DRILL-8.75 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 8.75 MM
10251300,unidad,BIT-DRILL-9 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 9 MM
10252452,unidad,BIT-DRILL-9.75 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 9.75 MM
10250137,unidad,BIT-DRILL-10 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 10 MM
10252453,unidad,BIT-DRILL-10.5 MM-CYLDRCL-HSS-GR M2-HLCL,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 10.5 MM
