CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN,DESCRIPCIÓN ADICIONAL
10269691,unidad,NIPPLE-CONDUIT-1-1/4 IN-5 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/4X5
10260381,unidad,NIPPLE-CONDUIT-1-1/4 IN-6 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1-1/4X6
10264261,unidad,NIPPLE-CONDUIT-1 IN-4 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1X4
10260383,unidad,NIPPLE-CONDUIT-CLSE-1 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 1XCLOSE
10269692,unidad,CONTROLLER-PHOTOELECTRIC-PHOTOCONTROL,PHOTOCONTROL- 2001- 180D- MOUNTING 1/2CONDUIT
10260384,unidad,CONTROLLER-PHOTOELECTRIC-PHOTOCONTROL,PHOTOCONTROL- 2002- 180D- MOUNTING 1/2CONDUIT
10260385,unidad,NIPPLE-CONDUIT-3/4 IN-2 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 3/4X2
10260386,unidad,NIPPLE-CONDUIT-3/4 IN-5 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 3/4X5
10271906,unidad,NIPPLE-CONDUIT-6 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 3/4X6
10260387,unidad,NIPPLE-CONDUIT-CLSE-3/4 IN-FNSH-GALVZ,NIPPLE- CONDUIT- GALVANIZED- 3/4XCLOSE
10269693,unidad,CONTROLLER-PHOTOELECTRIC-PHOTOCONTROL,PHOTOCONTROL- 3000- 120V- FLUSH MOUNTING
10264263,unidad,CONTROLLER-PHOTOELECTRIC-PHOTOCONTROL,PHOTOCONTROL- 3000- 208-277V- FLUSH MOUNTING
10273664,unidad,ELBOW-PIPE-4 IN-BVL WLDG-SCH 40-90 DEG,CODO 90°- 4 IN- ANSI / ASME B16.9- SCH 40- CON BISEL PARA SOLDAR
10265172,unidad,ROD-THREADED-5/8 IN-11 TPI-1 M-STL,VARILLA- ROSCADA- ACERO- 5/8 IN X 1 M- 11 HILOS X IN
10265278,unidad,SOCKET-ELECTRICAL-HGH CONSUMPTION-10 A,FICHA- MACHO- DOMICILIARIA- ALTO CONSUMO- 10 AMP- KS 44601- MARCA KALOP
10272813,unidad,SOCKET-ELECTRICAL-HGH CONSUMPTION-10 A,FICHA- HEMBRA- DOMICILIARIA- ALTO CONSUMO- 10 AMP- KS 44610- MARCA KALOP
10274015,unidad,COVER-BLND-3 IN-AL-FOR QCK CPLR,TAPA CIEGA- ACOPLE RAPIDO- ALUMINIO- 3 IN- MARCA- KEFREN- 634-A
10294986,unidad,PLATE-WEAR-420 X 470-TYP VIII,PLACA DE DESGASTE- 420 X 470 (TIPO VIII)- PLANO SIAC- 81-12-08-01 (REV C)- PLANO REF- 2887-M-DT-240015
10295002,unidad,DRILL-HELICOIDAL-M2 HSS-16 MM-BRND-EZETA,BROCA- HELICOIDAL- DE CABO CILINDRICO- ACERO HSS-M2- 16 MM
10295244,unidad,ABSORBENT-SOCKS-4 BALE-OIL-CSE-MOD T-270,CORDON- ABSORBENTE DE HIDROCARBUROS- MODELO- T-270- MARCA- 3M
10295428,unidad,BEACON-9 LED-24 V-BLU-REF-FL 101,BALIZA- 9 LED- 24 VOLT- AZUL- REF- FL 101
10295766,metros,CABLE-POWER-HGH TEMP-500 V-CU-SLCNE RBR,CABLE- ELECTRICO- ALTA TEMPERATURA- UNIPOLAR- COBRE- AISLAM- CAUCHO-SILICONA- 500 V- TEMP SERV- +180°C- X 100 MT
