codigo,descripcion,unidad_medida,tipo
RES-01,Barbijos Descartable N95 Con Valvula - Marca Libus ,Unidades,Respiratoria 
RES-02,Barbijos Descartable N95 Con Valvula- Marca 3M ,Unidades,Respiratoria 
RES-03,Barbijos Descartable N95 Sin Valvula - Marca 3M ,Unidades,Respiratoria 
RES-04,Barbijos Descartable N95 Sin Valvula - Marca Libus ,Unidades,Respiratoria 
RES-05,Filtro 3M 2091,Unidades,Respiratoria 
RES-06,Filtro 3M 6001,Unidades,Respiratoria 
RES-07,Mascara Full face  3M Series 6800 ,Unidades,Respiratoria 
RES-08,Semimascara 3M 6300T,Unidades,Respiratoria 
RES-09,Barbijos BLS CLASSIC Con Valvula ,Unidades,Respiratoria 
ROP-01,Calza y Camiseta 1° Piel - Talle L,Unidades,Ropa de Trabajo 
ROP-02,Calza y Camiseta 1° Piel - Talle M,Unidades,Ropa de Trabajo 
ROP-03,Calza y Camiseta 1° Piel - Talle S,Unidades,Ropa de Trabajo 
ROP-04,Calza y Camiseta 1° Piel - Talle XL,Unidades,Ropa de Trabajo 
ROP-05,Calza y Camiseta 1° Piel - Talle XXL,Unidades,Ropa de Trabajo 
ROP-06,Calza y Camiseta 1° Piel - Talle XXXL,Unidades,Ropa de Trabajo 
ROP-07,Camisa Jean - Talle L (46),Unidades,Ropa de Trabajo 
ROP-08,Camisa Jean - Talle M (42/44),Unidades,Ropa de Trabajo 
ROP-09,Camisa Jean - Talle S (38/40),Unidades,Ropa de Trabajo 
ROP-10,Camisa Jean - Talle XL (48),Unidades,Ropa de Trabajo 
ROP-11,Camisa Jean - Talle XXL (58),Unidades,Ropa de Trabajo 
ROP-12,Camisa Jean - Talle XXXL (60),Unidades,Ropa de Trabajo 
ROP-13,Campera Polar - Talle 2XL ,Unidades,Ropa de Trabajo 
ROP-14,Campera Polar - Talle 3XL ,Unidades,Ropa de Trabajo 
ROP-15,Campera Polar - Talle L ,Unidades,Ropa de Trabajo 
ROP-16,Campera Polar - Talle M ,Unidades,Ropa de Trabajo 
ROP-17,Campera Polar - Talle S ,Unidades,Ropa de Trabajo 
ROP-18,Campera Polar - Talle XL ,Unidades,Ropa de Trabajo 
ROP-19,Campera Termica Trucker Azul - Talle XL ,Unidades,Ropa de Trabajo 
ROP-20,Campera Termica Trucker Azul - Talle S ,Unidades,Ropa de Trabajo 
ROP-21,Campera Termica Trucker Azul - Talle M ,Unidades,Ropa de Trabajo 
ROP-22,Campera Termica Trucker Azul - Talle L ,Unidades,Ropa de Trabajo 
ROP-23,Campera Termica Trucker Azul - Talle 3XL ,Unidades,Ropa de Trabajo 
ROP-24,Campera Termica Trucker Azul - Talle 2XL ,Unidades,Ropa de Trabajo 
ROP-25,Campera Termica Trucker Roja - Talle 2XL ,Unidades,Ropa de Trabajo 
ROP-26,Campera Termica Trucker Roja - Talle 3XL ,Unidades,Ropa de Trabajo 
ROP-27,Campera Termica Trucker Roja - Talle L ,Unidades,Ropa de Trabajo 
ROP-28,Campera Termica Trucker Roja - Talle M ,Unidades,Ropa de Trabajo 
ROP-29,Campera Termica Trucker Roja - Talle S ,Unidades,Ropa de Trabajo 
ROP-30,Campera Termica Trucker Roja - Talle XL ,Unidades,Ropa de Trabajo 
ROP-31,Chaleco Gabardina - Talle L,Unidades,Ropa de Trabajo 
ROP-32,Chaleco Gabardina - Talle S,Unidades,Ropa de Trabajo 
ROP-33,Chaleco Gabardina - Talle S/M,Unidades,Ropa de Trabajo 
ROP-34,Chaleco Gabardina - Talle XL,Unidades,Ropa de Trabajo 
ROP-35,Chaleco Gabardina - Talle XXL,Unidades,Ropa de Trabajo 
ROP-36,Chaleco Gabardina - Talle XXXL,Unidades,Ropa de Trabajo 
ROP-37,Cubre Nunca Termico,Unidades,Ropa de Trabajo 
ROP-38,Guantes Termicos - Talle Unico,Unidades,Ropa de Trabajo 
ROP-39,Jardinero Termico - Talle 2XL,Unidades,Ropa de Trabajo 
ROP-40,Jardinero Termico - Talle 3XL,Unidades,Ropa de Trabajo 
ROP-41,Jardinero Termico - Talle L ,Unidades,Ropa de Trabajo 
ROP-42,Jardinero Termico - Talle M ,Unidades,Ropa de Trabajo 
ROP-43,Jardinero Termico - Talle S ,Unidades,Ropa de Trabajo 
ROP-44,Jardinero Termico - Talle XL ,Unidades,Ropa de Trabajo 
ROP-45,Medias Termicas - Talle Unico,Unidades,Ropa de Trabajo 
ROP-46,Pantalon Jean - Talle 38 ,Unidades,Ropa de Trabajo 
ROP-47,Pantalon Jean - Talle 40,Unidades,Ropa de Trabajo 
ROP-48,Pantalon Jean - Talle 42,Unidades,Ropa de Trabajo 
ROP-49,Pantalon Jean - Talle 44,Unidades,Ropa de Trabajo 
ROP-50,Pantalon Jean - Talle 46,Unidades,Ropa de Trabajo 
ROP-51,Pantalon Jean - Talle 48,Unidades,Ropa de Trabajo 
ROP-52,Pantalon Jean - Talle 50,Unidades,Ropa de Trabajo 
ROP-53,Pantalon Jean - Talle 52,Unidades,Ropa de Trabajo 
ROP-54,Pantalon Jean - Talle 54,Unidades,Ropa de Trabajo 
ROP-55,Pantalon Jean - Talle 56,Unidades,Ropa de Trabajo 
ROP-56,Pantalon Jean - Talle 58,Unidades,Ropa de Trabajo 
ROP-57,Pantalon Jean - Talle 60,Unidades,Ropa de Trabajo 
VAR-01,Arnes de seguridad APOLO X-URBAN,Unidades,Varios
VAR-02,"Cola de amarre X-URBAN 1,5M",Unidades,Varios
VAR-03,Cubre Nunca de Grafa ,Unidades,Varios
VAR-04,Rodilleras Lancelot,Unidades,Varios
VAR-05,Tyvek DUPONT - Talle 2XL ,Unidades,Varios
VAR-06,Tyvek DUPONT - Talle 3XL ,Unidades,Varios
VAR-07,Tyvek DUPONT - Talle L ,Unidades,Varios
VAR-08,Tyvek DUPONT - Talle XL ,Unidades,Varios
VAR-09,Tyvek DUPONT Tychem C amarillos - Talle 2XL ,Unidades,Varios
VAR-10,Tyvek DUPONT Tychem C amarillos - Talle 3XL ,Unidades,Varios
VAR-11,Tyvek DUPONT Tychem C amarillos - Talle L ,Unidades,Varios
VAR-12,Tyvek DUPONT Tychem C amarillos - Talle XL ,Unidades,Varios
VAR-13,Tyvek KLEENGUARD  A40  - Talle 2XL ,Unidades,Varios
VAR-14,Tyvek KLEENGUARD  A40  - Talle 3XL ,Unidades,Varios
VAR-15,Tyvek KLEENGUARD  A40  - Talle L ,Unidades,Varios
VAR-16,Tyvek KLEENGUARD  A40  - Talle XL ,Unidades,Varios
VAR-18,Colchas polar - Bordadas ,Unidades,Varios
VAR-19,Pilas 3A ,Unidades,Varios
VAR-20,Pilas 2A ,Unidades,Varios
VAR-21,Cinta Aisladora - Blanca,Unidades,Varios
VAR-22,Cinta Aisladora - Amarilla,Unidades,Varios
VAR-23,Cinta Aisladora - Celeste,Unidades,Varios
VAR-24,Cinta Aisladora - Roja ,Unidades,Varios
VAR-25,Cinta Aisladora - Negra,Unidades,Varios
VAR-26,Cinta 3m Verde,Unidades,Varios
VAR-27,Cinta 3m Blanca,Unidades,Varios
BLO-04,Candado Sekur 40 Doble Traba,Unidades,Bloqueo
BLO-07,Porta Candado Tipo Tijera ,Unidades,Bloqueo
FAC-03,Protector solar Dermaglos FPS 50 por 250ml,Unidades,Facial
FAC-05,Protector solar Dermaglos FPS 65 por 90gl,Unidades,Facial
FAC-06,Protector solar labial Dermaglos  FPS 30,Unidades,Facial
FAC-07,Protector solar labial Nivea  FPS 30,Unidades,Facial
LIB-01,Cinta Ancha Transparente - Medida 40x100 ,Unidades,Librería
MAN-08,Guantes - Anti Impacto - Talle 10 ,Unidades,Manos
MAN-09,Guantes - Anti Impacto - Talle 11,Unidades,Manos
MAN-16,Guantes de Nitrilo Azul - Poliéster bañando en látex Corrugado - Talle 9,Unidades,Manos
MAN-17,Guantes de Nitrilo Rojos  - G13 poliéster bañando en látex - Talle 8,Unidades,Manos
MAN-19,Guantes de Nitrilo Rojos - G13 poliéster bañando en látex - Talle 10,Unidades,Manos
MAN-20,Guantes de Vaqueta - Puño Corto C/Abrigo - Talle 10,Unidades,Manos
MAN-21,Guantes de Vaqueta - Puño Corto C/Abrigo - Talle 11,Unidades,Manos
MAN-36,MAPA Professionnel Ultranitril 492 - Talle 9,Unidades,Manos
MAN-37,MAPA Professionnel Ultranitril 492 - Talle 10,Unidades,Manos
OCU-03,Anteojos de seguridad - Marca Libus Ecoline - Claros,Unidades,Ocular 
OCU-04,Anteojos de seguridad - Marca Libus Ecoline - Oscuros,Unidades,Ocular 
RES-03,Barbijos Descartable N95 Sin Valvula - Marca 3M ,Unidades,Respiratoria 
RES-09,Barbijos Descartable Healthy Mask tricapa T25B,Unidades,Respiratoria 
VAR-13,Tyvek KLEENGUARD  A40  - Talle 2XL ,Unidades,Varios
VAR-14,Tyvek KLEENGUARD  A40  - Talle 3XL ,Unidades,Varios
VAR-15,Tyvek KLEENGUARD  A40  - Talle L ,Unidades,Varios
VAR-16,Tyvek KLEENGUARD  A40  - Talle XL ,Unidades,Varios
VAR-21,Cinta Aisladora - Blanca,Unidades,Varios
VAR-22,Cinta Aisladora - Amarilla,Unidades,Varios
VAR-24,Cinta Aisladora - Roja ,Unidades,Varios
MAN-08,Guantes - Anti Impacto - Talle 10 ,Unidades,Manos
MAN-26,Guantes de Vaqueta Puño Largo C/Abrigo - Talle 10,Unidades,Manos
MAN-19,Guantes de Nitrilo Rojos - G13 poliéster bañando en látex - Talle 10,Unidades,Manos
MAN-07,Guante MAPA ULTRANE 526 - Talle 9,Unidades,Manos
MAN-14,Guantes de Nitrilo Azul - Poliéster bañando en látex Corrugado - Talle 10,Unidades,Manos
