codigo,marca,modelo,tipo,descripcion,panol
AL 8201,Truper,4”,Manuales,Espátula 4”,Pañol Veladero
AL 8202,Proskit,rms mt-3202,Medición,Pinza amperométrica,Pañol Veladero
AL 8203,TBCin,hs-05wf,Herramientas,Grimpeadora,Pañol Veladero
AL 8204,Hamilton,emg200,Manuales,Espátula Hamilton,Pañol Veladero
AL 8205,Assist,24g-t1,De Corte,Cúter,Pañol Veladero
AL 8206,Assist,24g-t1,De Corte,Cúter,Pañol Veladero
AL 8207,Hamilton,emg200,Manuales,Espátula Hamilton,Pañol Veladero
AL 8208,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8209,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8210,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8211,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8212,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8213,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8214,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8215,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8216,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8217,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8218,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8219,Biassoni,300x300,Manuales,Bandeja para masilla,Pañol Veladero
AL 8220,Santa Juana ,10x30,Manuales,Llana flexible,Pañol Veladero
AL 8221,Santa Juana ,10x30,Manuales,Llana flexible,Pañol Veladero
AL 8222,Hamilton,160mm,De Corte,Serrucho para Durlock,Pañol Veladero
AL 8223,Hamilton,160mm,De Corte,Serrucho para Durlock,Pañol Veladero
AL 8224,Kex,"media caña de 10""",Manuales,Escofina,Pañol Veladero
AL 8225,Hamilton,sc012,De Corte,Serrucho de costilla,Pañol Veladero
AL 8226,Bremen,N/A,Medición,Chocla,Pañol Veladero
AL 8227,Bremen,N/A,Medición,Chocla,Pañol Veladero
AL 8228,Dremel,"bastarda 10""",Manuales,Lima plana,Pañol Veladero
AL 8229,Gardex,400gr,Medición,Plomada de albañil trompo,Pañol Veladero
AL 8230,Bremen,30cm,Medición,Regla de acero inoxidable,Pañol Veladero
AL 8231,Hamilton,60cm,Medición,Regla de acero inoxidable,Pañol Veladero
AL 8232,Duroll,at-70,Herramientas,Cuerpo de andamio tubular,Pañol Veladero
AL 8233,Duroll,at-70,Herramientas,Cuerpo de andamio tubular,Pañol Veladero
AL 8241,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8242,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8243,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8244,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8245,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8246,Sekur,40,Manuales,Candado,Pañol Veladero
AL 8247,Assist,24g-t1,De Corte,Cúter,Pañol Veladero
AL 8248,Assist,24g-t1,De Corte,Cúter,Pañol Veladero
AL 8249,Assist,24g-t1,De Corte,Cúter,Pañol Veladero
AL 8250,Hamilton,emg20,Manuales,Espátula,Pañol Veladero
AL 8251,Hamilton,emg20,Manuales,Espátula,Pañol Veladero
AL 8252,Hamilton,emg20,Manuales,Espátula,Pañol Veladero
AL 8257,N/A,plástico,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8258,N/A,plástico,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8259,N/A,plástico,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8260 ,N/A,plástico,Manuales,Balde de albañil plástico,Pañol Veladero
AL 8261,Evel,505,Medición,Cinta métrica de acero 5m,Pañol Veladero
AL 8262,Evel,505,Medición,Cinta métrica de acero 5m,Pañol Veladero
AL 8263,El abuelo,200mm,Medición,Punta de trazar,Pañol Veladero
AL 8264,El abuelo,200mm,Medición,Punta de trazar,Pañol Veladero
AL 8272,Dremel,290-75,Inalámbricas,Grabador eléctrico,Pañol Veladero
AL 8275,Truper,"1/2""-1""",Manuales,Llave de plomero,Pañol Veladero
AL 8276,Conoflex,Econo,Manuales,Cono de señalización de 70cm,Pañol Veladero
AL 8277,Conoflex,Econo,Manuales,Cono de señalización de 70cm,Pañol Veladero
AL 8278,Conoflex,Econo,Manuales,Cono de señalización de 70cm,Pañol Veladero
AL 8279,Conoflex,Econo,Manuales,Cono de señalización de 70cm,Pañol Veladero
AL 8280,Conoflex,Econo,Manuales,Cono de señalización de 70cm,Pañol Veladero
AL 8281,Conoflex,Econo,Manuales,Cono de señalización de 70cm,Pañol Veladero
AL 8282,Total,tg55061-4,Eléctricas,Amoladora recta eléctrica,Pañol Veladero
AL 8286,Bremen,Recta,Manuales,Pinza para seguros seeger,Pañol Veladero
AL 8287,Bremen,Recta,Manuales,Pinza para seguros seeger,Pañol Veladero
AL 8288,Bremen,Curva,Manuales,Pinza para seguros seeger,Pañol Veladero
AL 8289,Crossmaster,Curva,Manuales,Pinza para seguros seeger,Pañol Veladero
AL 8291,N/A,Plomeria,Manuales,Llave multiple,Pañol Veladero
AL 8305,Bremen,ph2 doble philips,Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8306,Bremen,ph2 doble philips,Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8307,Bremen,ph2 doble philips,Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8308,Bremen,ph2 doble philips,Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8309,Bremen,ph2 doble philips,Manuales,Puntas para taladro atornillador,Pañol Veladero
AL 8310,Libus,"1/4"" x 50mm",Manuales,Boquillas magnéticas,Pañol Veladero
AL 8311,Libus,"1/4"" x 50mm",Manuales,Boquillas magnéticas,Pañol Veladero
AL 8312,Bremen,"3/8"" x 65mm ",Manuales,Boquillas magnéticas,Pañol Veladero
AL 8313,Bremen,"3/8"" x 65mm ",Manuales,Boquillas magnéticas,Pañol Veladero
AL 8314,Bremen,"3/8"" x 65mm ",Manuales,Boquillas magnéticas,Pañol Veladero
AL 8315,Bremen,"3/8"" x 65mm ",Manuales,Boquillas magnéticas,Pañol Veladero
AL 8316,Bremen,"3/8"" x 65mm ",Manuales,Boquillas magnéticas,Pañol Veladero
AL 8317,Bremen,"5/16"" x 65mm",Manuales,Boquillas magnéticas,Pañol Veladero
AL 8318,Wembley,7453,Manuales,Boquillas magnéticas,Pañol Veladero
AL 8319,Wembley,7453,Manuales,Boquillas magnéticas,Pañol Veladero
AL 8320,Wembley,7453,Manuales,Boquillas magnéticas,Pañol Veladero
AL 8321,Wembley,7453,Manuales,Boquillas magnéticas,Pañol Veladero
AL 8322,Brother,p-touch e110,Eléctricas,Rotuladora,Pañol Veladero
AL 8323,N/A,voss2000,Manuales,Fratacho plástico para grueso reforzado,Pañol Veladero
