Etapa,Entrada,Producto,Salida
Preselección,PF0002,0,PP0001
Preselección,PF0002,0,PP0004
Preselección,PF0002,0,PP0005
Preselección,PF0002,0,PP0006
Preselección,PF0002,0,PP0007
Preselección,PF0002,0,PP0008
Preselección,PF0002,0,PP0009
Preselección,PF0002,0,PP0010
Preselección,PF0002,0,PP0011
Preselección,PF0003,0,PP0002
Preselección,PF0003,0,PP0012
Preselección,PF0003,0,PP0013
Preselección,PF0003,0,PP0014
Preselección,PF0003,0,PP0015
Preselección,PF0003,0,PP0016
Preselección,PF0003,0,PP0017
Preselección,PF0003,0,PP0018
Preselección,PF0003,0,PP0019
Preselección,PF0004,0,PP0003
Preselección,PF0004,0,PP0020
Preselección,PF0004,0,PP0021
Preselección,PF0004,0,PP0022
Preselección,PF0004,0,PP0023
Preselección,PF0004,0,PP0024
Preselección,PF0004,0,PP0025
Preselección,PF0004,0,PP0026
Preselección,PF0004,0,PP0027
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Preselección,0,0,0
Selección,PP0001,0,PP0004
Selección,PP0001,0,PP0005
Selección,PP0001,0,PP0006
Selección,PP0001,0,PP0007
Selección,PP0001,0,PP0008
Selección,PP0001,0,PP0009
Selección,PP0001,0,PP0010
Selección,PP0001,0,PP0011
Selección,PP0002,0,PP0012
Selección,PP0002,0,PP0013
Selección,PP0002,0,PP0014
Selección,PP0002,0,PP0015
Selección,PP0002,0,PP0016
Selección,PP0002,0,PP0017
Selección,PP0002,0,PP0018
Selección,PP0002,0,PP0019
Selección,PP0003,0,PP0020
Selección,PP0003,0,PP0021
Selección,PP0003,0,PP0022
