Cliente,descripcion,fecha_ingreso,fecha_garantia,marca,codigo,sector,grupo,criticidad,estado,fecha_ultimalectura,ultima_lectura,descrip_tecnica,area,proceso,numero_serie,meta_disponibilidad
,USD 60,,,GEA,Separadora,,,,,,,,San Juan,,9053-853,
,UCC 469,,,GEA,Decanter,,,,,,,,San Juan,,8008-600,
, ,,,GEA,Decanter,,,,,,,,,,,
, ,,,GEA,Decanter,,,,,,,,,,,
,OSD 20,,,GEA,Centrifuga,,,,,,,,,,,
,OSD 25,,,GEA,Centrifuga,,,,,,,,,,,
,SB 80-36-177,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,1667-984,
,CE 535-01-02,,,GEA,Decanter,Maipu,,,,,,,Mendoza,,8005-389,
,GSC 40-06-007,,,GEA,Separadora,San Rafael,,,,,,,Mendoza,,9074-789,
,GSC 25-06-007,,,GEA,Separadora,Maipu,,,,,,,Mendoza,,9044-162,
,GSC 25-06-007,,,GEA,Separadora,Lujan de cuy,,,,,,,Mendoza,,9057-583,
,GSC 40-06-077,,,GEA,Separadora,Caucete,,,,,,,San Juan,,,
,OSC 50-06-076,,,GEA,Separadora,Tunuyán,,,,,,,Mendoza,,9011-099,
,GSC 40-06-077,,,GEA,,,,,,,,,,,,
,GSC 25-06-007,,,GEA,Separadora,Anillaco,,,,,,,La Rioja,,9059-742,
,GSC 45-06-177,,,GEA,Separadora,Barranca,,,,,,,Mendoza,,1727-447,
,GSC 25-06-007,,,GEA,Separadora,Barranca,,,,,,,Mendoza,,9059-740,
,AD 1220,,,GEA,Decanter,Lujan de cuyo,,,,,,,Mendoza,,8003-625,
,CE 535-01-02,,,GEA,Decanter,Lujan de cuyo,,,,,,,Mendoza,,,
,AD 509,,,GEA,Decanter,,,,,,,,Mendoza,,,
