CÓDIGO,UNIDAD DE MEDIDA,DESCRIPCIÓN
0001-0963-820,UN,MIRILLA DE INSPECCIÓN
0001-0965-000,UN,TRANSDUCTOR DE PRESIÓN
0001-0970-870,UN,MIRILLA DE INSPECCIÓN
0001-0979-400,UN,MIRILLA, COMP.
0001-0996-420,UN,CAJA DE MIRILLA
0001-0997-400,UN,MIRILLA, COMP.
0001-1002-400,UN,MIRILLA, COMP.
0001-1002-410,UN,CAJA DE MIRILLA, SOLD.
0001-1019-410,UN,CAUDALÍMETRO
0001-1043-300,UN,PORTAMIRILLA
0001-1078-400,UN,CAUDALÍMETRO
0001-1104-700,UN,JUNTA DE PERFIL
0001-1136-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1149-400,UN,SENSOR DE VALOR DE MEDICIÓN
0001-1155-820,UN,MATRAZ DE FONDO PLANO
0001-1157-610,UN,CAUDALÍMETRO
0001-1158-610,UN,CAUDALÍMETRO
0001-1159-610,UN,CAUDALÍMETRO
0001-1160-610,UN,CAUDALÍMETRO
0001-1161-610,UN,CAUDALÍMETRO
0001-1162-610,UN,CAUDALÍMETRO
0001-1163-600,UN,CAUDALÍMETRO
0001-1163-610,UN,CAUDALÍMETRO
0001-1169-400,UN,SENSOR DE VALOR DE MEDICIÓN
0001-1179-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1180-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1181-400,UN,MANÓMETRO DE CONTROL, COMP.
0001-1181-410,UN,TRANSDUCTOR DE PRESIÓN
0001-1182-400,UN,MANÓMETRO DE CONTROL, COMP.
0001-1182-410,UN,TRANSDUCTOR DE PRESIÓN
0001-1183-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1187-400,UN,CAUDALÍMETRO CON TAPA
0001-1189-400,UN,CAUDALÍMETRO CON TAPA
0001-1194-400,UN,BRIDA CIEGA
0001-1196-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1198-600,UN,MINICAUDALÍMETRO
0001-1200-800,UN,MIRILLA
0001-1202-410,UN,CAJA DE MIRILLA, SOLD.
0001-1220-400,UN,DETECTOR
0001-1225-400,UN,MIRILLA, COMP.
0001-1227-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1228-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1246-000,UN,BRIDA
0001-1248-820,UN,MIRILLA DE INSPECCIÓN
0001-1249-800,UN,MIRILLA
0001-1252-820,UN,MIRILLA DE INSPECCIÓN
0001-1260-300,UN,LINTERNA DE LA MIRILLA
0001-1261-820,UN,MIRILLA CILÍNDRICA
0001-1262-820,UN,MIRILLA CILÍNDRICA
0001-1269-400,UN,MIRILLA, COMP.
0001-1271-820,UN,MIRILLA CILÍNDRICA
0001-1278-400,UN,BRIDA
0001-1279-400,UN,REBORDE
0001-1281-010,UN,INDICADOR DEL NIVEL DE ACEITE
0001-1285-400,UN,TELETERMÓMETRO
0001-1286-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1293-820,UN,MIRILLA CILÍNDRICA
0001-1298-820,UN,MIRILLA DE INSPECCIÓN
0001-1300-400,UN,MANÓMETRO DE CONTACTO
0001-1304-400,UN,MIRILLA, COMP.
0001-1304-410,UN,CAJA DE MIRILLA, SOLD.
0001-1313-010,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1315-010,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1315-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1316-010,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1317-410,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1318-010,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1319-010,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1320-010,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
0001-1337-610,UN,TRANSDUCTOR DE PRESIÓN
0001-1338-610,UN,TRANSDUCTOR DE PRESIÓN
0001-1339-400,UN,MINICAUDALÍMETRO
0001-1342-610,UN,CAUDALÍMETRO
0001-1347-610,UN,CAUDALÍMETRO
0001-1353-000,UN,BRIDA, COMP.
0001-1353-010,UN,BRIDA RANURADA
0001-1354-000,UN,BRIDA, COMP.
0001-1354-010,UN,BRIDA RANURADA
0001-1356-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1357-400,UN,MIRILLA
0001-1360-800,UN,MIRILLA DE INSPECCIÓN
0001-1363-400,UN,BRIDA
0001-1365-280,UN,TERMÓMETRO DE MAQUINA
0001-1376-820,UN,MIRILLA DE INSPECCIÓN
0001-1393-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1394-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1395-400,UN,TRANSDUCTOR DE PRESIÓN
0001-1406-400,UN,CAUDALÍMETRO MAGNÉTICO POR INDUCCIÓN
